transaction_id,txn_date,year,year_month,customer_code,region,qty,unit_price,item_supply_amount,supply_amount,tax,total_amount,is_modified,invoice_type,issue_type,receipt_type
T0572,2025-02-12,2025,2025-02,C18,대구광역시 달서구,6,20000,120000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0573,2025-02-17,2025,2025-02,C18,대구광역시 달서구,4,20000,80000,180000,18000,198000,N,세금계산서,인터넷발급,청구
T0574,2025-02-20,2025,2025-02,C18,대구광역시 달서구,4,20000,80000,180000,18000,198000,N,세금계산서,인터넷발급,청구
T0575,2025-02-20,2025,2025-02,C04,부산광역시 수영구,,,1000000,1000000,100000,1100000,N,세금계산서,ASP발급,청구
T0576,2025-02-25,2025,2025-02,C28,경상남도 창녕군,5,20000,100000,300000,30000,330000,N,세금계산서,인터넷발급,청구
T0577,2025-02-27,2025,2025-02,C18,대구광역시 달서구,51760,375,19410000,19410000,1941000,21351000,N,세금계산서,ASP발급,청구
T0578,2025-02-28,2025,2025-02,C38,경기도 성남시,24140,380,9173200,9173200,917320,10090520,N,세금계산서,ASP발급,청구
T0579,2025-02-28,2025,2025-02,C13,서울특별시 강남구,148800,379,56395200,56395200,5639520,62034720,N,세금계산서,ASP발급,청구
T0580,2025-02-28,2025,2025-02,C07,경상남도 창원시,5,20000,100000,200000,20000,220000,N,세금계산서,ASP발급,청구
T0581,2025-02-28,2025,2025-02,C07,경상남도 창원시,5,20000,100000,200000,20000,220000,N,세금계산서,ASP발급,청구
T0582,2025-02-28,2025,2025-02,C07,경상남도 창원시,1,20000,20000,20000,2000,22000,N,세금계산서,ASP발급,청구
T0583,2025-02-28,2025,2025-02,C07,경상남도 창원시,5,20000,100000,200000,20000,220000,N,세금계산서,ASP발급,청구
T0584,2025-02-28,2025,2025-02,C05,경기도 평택시,659340,410,270329400,270329400,27032940,297362340,N,세금계산서,ASP발급,청구
T0585,2025-02-28,2025,2025-02,C02,경상남도 김해시,1643640,375,616365000,616365000,61636500,678001500,N,세금계산서,ASP발급,청구
T0586,2025-02-28,2025,2025-02,C07,경상남도 창원시,83680,379,31714720,31714720,3171472,34886192,N,세금계산서,ASP발급,청구
T0587,2025-02-28,2025,2025-02,C04,부산광역시 수영구,4979666,9,44816994,44816994,4481699,49298693,N,세금계산서,ASP발급,청구
T0588,2025-02-28,2025,2025-02,C20,인천광역시 중구,,,23780000,23780000,2378000,26158000,N,세금계산서,ASP발급,청구
T0589,2025-02-28,2025,2025-02,C48,부산광역시 중구,101919,29,2955651,3888610,388861,4277471,N,세금계산서,ASP발급,청구
T0590,2025-02-28,2025,2025-02,C08,경기도 용인시,157770,360,56797200,67475200,6747520,74222720,N,세금계산서,ASP발급,청구
